"player","team","position","id","avg_type","pass_yds","pass_yds_sd","pass_tds","pass_tds_sd","pass_int","pass_int_sd","rush_yds","rush_yds_sd","rush_tds","rush_tds_sd","fumbles_lost","fumbles_lost_sd","two_pts","two_pts_sd","return_tds","return_tds_sd","rec_yds","rec_yds_sd","rec_tds","rec_tds_sd","fg_0019","fg_0019_sd","fg_2029","fg_2029_sd","fg_3039","fg_3039_sd","fg_4049","fg_4049_sd","fg_50","fg_50_sd","xp","xp_sd","dst_int","dst_int_sd","dst_sacks","dst_sacks_sd","dst_safety","dst_safety_sd","dst_td","dst_td_sd","dst_blk","dst_blk_sd","idp_solo","idp_solo_sd","idp_sack","idp_sack_sd","idp_int","idp_int_sd","idp_pd","idp_pd_sd","idp_td","idp_td_sd","birthdate","draft_year","injury_status","injury_details","season_year","week"
"Sam Darnold","SEA","QB","13592","weighted",3758.9079591064,246.298137180536,23.9918439984854,2.81458777047047,13.3775009466111,2.88902447398028,205.638159787959,32.7319402946246,1.77470655054903,0.801860076721575,2.85155244225672,0.831893315531076,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1997-06-05,2018,NA,NA,NA,NA
"Bo Nix","DEN","QB","16582","weighted",3793.33303294207,156.487646643018,28.563839454752,3.30378025062632,12.1615978795911,0.967869340017815,440.972669443393,33.3777649055988,3.35671336614919,0.782951395519025,1.40165656948126,0.834375484172218,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000-02-25,2024,NA,NA,NA,NA
"Bryce Young","CAR","QB","16148","weighted",3535.21704657327,282.772353053994,23.134706550549,4.58768612249483,11.6449829609996,1.33026487370548,301.387807648618,17.5067798464092,3.96608102991291,0.75584424684471,3.37906096175691,0.642028426854923,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2001-07-25,2023,NA,NA,NA,NA
"Aaron Rodgers","PIT","QB","7836","weighted",3767.02521772056,132.737729642301,25.4138280954184,4.40674189752509,10.3192199924271,1.74037375520683,96.0923892464975,61.597610429798,0.94710336993563,0.910341506523179,2.82859712230216,0.407499763055093,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1983-12-02,2005,NA,NA,NA,NA
"Cam Ward","TEN","QB","17030","weighted",3549.69775085195,347.404206954522,22.0021809920485,1.68672273991194,12.9661113214691,1.86430666085832,318.756577054146,119.170505723638,2.45532752745172,1.32438748486043,3.98761832639152,0.0352260295704588,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2002-05-25,2025,NA,NA,NA,NA
"Kirk Cousins","ATL","QB","10700","weighted",1365.43363683394,1759.63356357627,8.38419037765132,10.2892011627479,4.81135023279876,5.63570929816241,21.1081220900155,18.7599810840493,0,0,0.714709432660804,0.147908431874467,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1988-08-19,2012,NA,NA,NA,NA
"Russell Wilson","NYG","QB","10703","weighted",2898.66078000757,612.52279266236,17.8852252934495,6.44783580786346,8.11259371450208,2.33132108689532,211.190147671337,90.4279806782613,1.87455509276789,0.66259664044908,3.50185535781901,0.826801019439087,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1988-11-29,2012,NA,NA,NA,NA
"Jalen Hurts","PHI","QB","14783","weighted",3458.49421431276,231.225672876195,23.3960545248012,2.27641317757303,8.01375236652783,1.50540336791783,646.802218856494,74.2359284682325,12.9540325634229,1.18746961531772,3.76038432411965,0.344181520637788,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1970-01-01,2020,NA,NA,NA,NA
"Drake Maye","NE","QB","16580","weighted",3525.98213555471,160.336582109944,23.9363422945854,3.5817159854463,12.6571601666036,1.03424786603809,517.154290041651,102.886797835772,3.2169405528209,0.801869388811442,5.10775274517228,0.67220302241111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2002-08-30,2024,NA,NA,NA,NA
"Daniel Jones","IND","QB","14059","weighted",2561.80315032185,882.285435758252,15.8750321847785,7.53375567609262,9.13719803104884,3.71972068215529,347.033373722075,145.56081497502,3.10112836046952,1.23255017022886,3.45371071563802,0.271312840139137,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1970-01-01,2019,NA,NA,NA,NA
"Spencer Rattler","NO","QB","16586","weighted",2529.73789830508,1030.44817208803,15.4356355932203,9.32360849919171,8.67104237288136,3.43364841528322,206.727762711864,101.019699301615,1.06294915254237,0.608461145900279,4.0135593220339,1.00239338300975,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000-09-28,2024,NA,NA,NA,NA
"Justin Fields","NYJ","QB","15238","weighted",3225.69269973495,253.015180392482,21.2173040514956,5.94376245928366,10.8115940931465,1.45621520745169,690.053525179856,195.512590207102,5.49081408557365,1.64069594622255,2.38634986747444,0.902320696758911,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1970-01-01,2021,NA,NA,NA,NA
"Anthony Richardson","IND","QB","16152","weighted",1262.83444149943,1035.02772975906,8.27844755774328,7.57750286317467,5.16049981067777,3.723826393352,287.594358197652,238.664023570171,2.77527451722832,2.41921923930711,0.885810299129118,0.56210577527957,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2002-05-22,2023,NA,NA,NA,NA
"Tyler Shough","NO","QB","17039","weighted",1232.4146686861,876.716566095061,6.57294206739871,5.14841129547772,4.91465354032563,4.91358186342558,88.0461946232488,59.9305318942461,0.547444149943203,0.602234134466994,0.761766376372586,0.624455709490437,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1999-09-28,2025,NA,NA,NA,NA
"Jaxson Dart","NYG","QB","17032","weighted",778.241144067797,639.130249933593,4.52325423728814,3.66858857666831,2.97150847457627,2.49986283007053,63.4796610169492,61.5168841025342,0.558050847457627,0.78314429984472,0.441949152542373,0.34660419765021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2003-05-13,2025,NA,NA,NA,NA
"Shedeur Sanders","CLE","QB","17031","weighted",821.286861123204,480.172824899105,4.45367871136265,2.77263398549231,3.04483239007401,1.95415845114059,36.7104919460165,23.436843574763,0.472659991292991,0.499832802816251,0.619503700478885,0.299807205941644,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2002-02-07,2025,NA,NA,NA,NA
"Dillon Gabriel","CLE","QB","17037","weighted",721.660942100098,457.352326779351,4.0400883218842,2.30472453254495,2.42075564278705,1.54735977429211,40.8110893032385,28.4430631323669,0.37724393872615,0.502865998912413,0.620853778213935,0.335690449178723,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000-12-28,2025,NA,NA,NA,NA
"Deshaun Watson","CLE","QB","13113","weighted",963.65296803653,262.336615820209,7.82785388127854,6.85893577750951,6.57899543378995,6.50538238691624,72.310502283105,58.6898628384834,0.248858447488584,0.353553390593274,2.32146118721461,1.09601551083915,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1995-09-14,2017,NA,"Achilles",2025,0
"Aidan O'Connell","LVR","QB","16159","weighted",341.939617083947,414.80919865452,2.28107511045655,2.57167724422947,1.10441826215022,1.30990084848932,5.06553755522828,3.67081037953662,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1998-09-01,2023,"IR","Wrist",2025,0
"Jameis Winston","NYG","QB","12140","weighted",314.490920096852,375.031066173134,1.92324455205811,2.0516324987373,1.2567191283293,1.74338309263998,14.5199757869249,13.8800457856826,0.0237772397094431,0.0432132354505789,0.0395883777239709,0.0366080203554789,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1994-01-06,2015,NA,NA,NA,NA
"Mason Rudolph","PIT","QB","13595","weighted",343.802235352043,328.845081530795,2.37648449039882,2.86039305119023,0.953569670113245,1.01950742438338,71.2763663220089,108.338036578903,0.435145248645987,0.960961442987965,0.38421139011981,0.324676217704068,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1995-07-17,2018,NA,NA,NA,NA
"Gardner Minshew","KC","QB","14067","weighted",309.70133960047,214.304369293378,2.39977673325499,2.38009501093456,1.52421856639248,1.79608091849764,13.5052878965922,10.2835013991111,0,0,1.56989815902859,0.592734227284754,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1970-01-01,2019,NA,NA,NA,NA
"Jake Browning","CIN","QB","14358","weighted",296.079470899471,211.882074585873,2.75186696900983,2.08259765201051,0.875948601662887,0.970709284018761,17.2955404383976,17.7763932921897,0.222448979591837,0.448331968868381,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1970-01-01,2019,NA,NA,NA,NA
"Kenny Pickett","LVR","QB","15692","weighted",248.400045351474,213.169038000212,2.07275888133031,2.61753750883786,0.834195011337869,0.939098183784331,13.6054421768707,10.1612526044902,0.123582766439909,0.249073316037989,0.65830183925422,0.672935055648397,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1998-06-06,2022,"Q","Hamstring",2025,0
"Cooper Rush","BAL","QB","13124","weighted",226.237898715042,192.058975111083,1.9686470143613,2.35298151833602,0.76042328042328,0.872243792038793,15.7513227513228,14.6586423984121,0,0,0.613429075333837,0.292637670708116,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017,NA,NA,NA,NA
"Marcus Mariota","WAS","QB","12141","weighted",268.745593419506,191.655096623201,2.51639247943596,2.53350091153585,0.424441833137485,0.6027732570417,57.6727379553466,54.0463803998875,0.386016451233843,0.544547641110021,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1993-10-30,2015,"Q","Lower Leg",2025,0
"Tyrod Taylor","NYJ","QB","10413","weighted",225.292728813559,161.780984280856,1.91030508474576,2.79420328696437,1.04747457627119,1.14923536320126,34.6754237288136,33.9651164488074,0,0,0.482415254237288,0.288572783663681,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1989-08-03,2011,"Q","Knee",2025,0
"Andy Dalton","CAR","QB","10313","weighted",209.368260869565,142.857941318806,1.99794359576968,1.34754926112796,1.10745005875441,0.583834794599675,8.18507638072855,6.51558566073695,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1987-10-29,2011,"Q","Elbow",2025,0
"Will Levis","TEN","QB","16149","weighted",259.27397260274,239.70919882224,1.95479452054795,1.48492424049175,1.50228310502283,0.707106781186547,21.0547945205479,16.9705627484771,0,0,0.6,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1999-06-27,2023,"IR","Shoulder",2025,0
"Drew Lock","SEA","QB","14057","weighted",215.749055177627,144.308009833554,1.77561602418745,1.42916107495073,1.33596371882086,0.808163022568577,14.8314436885865,10.2645606209992,0.0247165532879819,0.0498146632075979,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1970-01-01,2019,NA,NA,NA,NA
